John;2;1015;420;3;0;3;bandit;John;brigand;2;2;9;1;3;2
Joel;2;1045;800;2;0;0;4;5;2;1;2;1
bandit;2;1205;435;2;0;1;bandit;4;12;16;26;14;5
brigand;2;855;545;4;1;1;brigand;5;28;1;33;13;6
Market Saler;2;560;670;3;0;0;2;19;15;0;3;4
npc 01;0;388;4570;3;0;0;2;0;23;3;1;5
npc 02;0;830;5205;2;0;0;1;1;3;18;2;1
npc 03;0;825;5315;2;0;0;2;18;24;11;13;2
npc 04;0;730;5205;3;0;0;3;38;16;8;10;3
npc 05;0;740;5355;1;0;0;4;28;10;10;17;4
npc 06;0;560;5500;2;0;0;5;24;20;1;18;5
npc 07;0;460;5500;4;0;0;6;0;10;0;15;5
npc 08;0;1150;6050;3;0;0;1;20;1;34;14;1
npc 09;0;1180;6100;2;0;0;2;31;5;23;4;0
npc 10;0;1170;6150;1;0;0;3;47;6;15;8;4
npc 11;0;1070;5640;1;0;0;4;36;18;30;7;2
npc 12;0;1000;5638;4;0;0;5;2;8;2;1;3
npc 13;0;1400;5380;4;0;0;6;3;9;12;14;3
npc 14;0;2130;5355;3;0;0;1;7;0;13;10;2
npc 15;0;2150;5505;2;0;0;2;16;19;30;11;1
npc 16;0;2230;5955;2;0;0;3;22;22;20;12;1
npc 17;0;1580;6005;1;0;0;4;0;9;4;2;2
npc 18;0;1830;5805;2;0;0;5;44;14;6;10;5
npc 19;0;1730;5810;4;0;0;6;42;11;0;18;6
npc 20;0;1780;5885;1;0;0;1;2;5;0;1;1
npc 20;0;1780;5885;1;0;0;3;20;1;0;1;2
npc 21;0;3100;5240;2;0;0;1;6;23;0;5;1
npc 22;0;2750;4350;3;0;0;2;16;18;12;1;2
npc 23;0;2800;4400;2;0;0;3;11;16;34;4;3
npc 24;0;2750;4450;1;0;0;4;18;15;30;3;4
npc 25;0;3540;4450;2;0;0;5;1;11;28;6;5
npc 26;0;3105;3895;2;0;0;6;0;3;12;7;6
npc 27;0;3095;3545;3;0;0;1;20;5;5;2;1
npc 28;0;3095;2980;2;0;0;2;33;4;5;12;2
npc 29;0;2705;2645;4;0;0;3;29;3;5;15;3
npc 30;0;2145;2990;1;0;0;4;24;0;5;18;4
npc 31;0;1820;3270;4;0;0;5;18;20;5;11;5
npc 32;0;940;3675;4;0;0;6;19;24;5;10;6
npc 33;0;1070;3765;1;0;0;1;17;12;5;14;1
npc 34;0;1895;2515;2;0;0;2;10;14;5;15;2
npc 35;0;1790;2435;3;0;0;3;5;12;5;17;3
npc 36;0;1720;2505;4;0;0;4;7;20;5;11;4
npc 37;0;3540;1635;2;0;0;5;14;23;5;3;5
npc 38;0;3055;1455;3;0;0;6;12;0;5;1;6
npc 39;0;575;1350;4;0;0;2;40;2;5;2;1
npc 40;0;860;1185;3;0;0;1;1;2;5;15;2
npc 41;1;705;560;1;0;0;2;1;1;1;1;1
npc 42;1;595;670;2;0;0;4;2;20;2;2;2
npc 43;1;595;440;3;0;0;2;5;18;22;10;3
npc 44;1;1140;275;3;0;0;1;8;5;23;3;4
npc 45;1;1345;330;2;0;0;6;23;0;1;8;5
npc 46;1;1205;400;3;0;0;5;19;1;11;7;6
npc 47;1;1235;645;4;0;0;4;30;10;17;5;1
npc 48;1;1345;595;2;0;0;3;40;13;12;2;2
npc 49;1;775;430;4;0;0;2;36;12;33;1;3
npc 50;1;1080;520;3;0;0;39;24;36;12;1;4
npc 51;2;1350;830;4;0;0;1;10;17;10;6;2
npc 52;2;1420;770;3;0;0;2;40;16;3;5;3
npc 53;2;1400;380;2;0;0;3;20;12;19;1;1
npc 54;2;455;480;4;0;0;4;19;0;0;12;5
npc 55;2;420;260;3;0;0;5;12;4;3;2;6
